lecture_name,Method,conciseness_score,answer_consistency_score,educational_complexity_score,independence_score,overall_review_score
18100a-lecture-11-multicam_360p_16_9,Baseline (Unstructured),4.5576923076923075,4.769230769230769,3.5576923076923075,4.769230769230769,3.980769230769231
18100a-lecture-11-multicam_360p_16_9,Proposed (Hybrid),4.361702127659575,4.829787234042553,3.74468085106383,4.851063829787234,4.042553191489362
18100a-lecture-12-multicam_360p_16_9,Baseline (Unstructured),4.611111111111111,4.907407407407407,3.5925925925925926,4.851851851851852,3.925925925925926
18100a-lecture-12-multicam_360p_16_9,Proposed (Hybrid),4.5,4.944444444444445,3.6296296296296298,4.851851851851852,4.037037037037037
18100a-lecture-15-multicam_360p_16_9,Baseline (Unstructured),4.657407407407407,4.953703703703703,3.0833333333333335,4.787037037037037,3.3981481481481484
18100a-lecture-15-multicam_360p_16_9,Proposed (Hybrid),4.531914893617022,4.904255319148936,3.521276595744681,4.691489361702128,3.776595744680851
18100a-lecture-16-multicam_360p_16_9,Baseline (Unstructured),4.464285714285714,4.919642857142857,3.232142857142857,4.767857142857143,4.107142857142857
18100a-lecture-16-multicam_360p_16_9,Proposed (Hybrid),4.298245614035087,5.0,3.508771929824561,4.894736842105263,4.4035087719298245
18100a-lecture-17-multicam_360p_16_9,Baseline (Unstructured),4.507936507936508,4.968253968253968,3.4444444444444446,4.888888888888889,3.7777777777777777
18100a-lecture-17-multicam_360p_16_9,Proposed (Hybrid),4.352941176470588,4.894117647058824,3.8,4.882352941176471,4.047058823529412
18100a-lecture-18-multicam_360p_16_9,Baseline (Unstructured),4.315789473684211,4.802631578947368,3.3289473684210527,4.776315789473684,4.125
18100a-lecture-18-multicam_360p_16_9,Proposed (Hybrid),4.34,4.94,3.52,4.78,4.34
18100a-lecture-19-multicam_360p_16_9,Baseline (Unstructured),4.469387755102041,4.863945578231292,3.1156462585034013,4.63265306122449,3.9659863945578233
18100a-lecture-19-multicam_360p_16_9,Proposed (Hybrid),4.258064516129032,4.870967741935484,3.532258064516129,4.790322580645161,4.17741935483871
18100a-lecture-21-multicam_360p_16_9,Baseline (Unstructured),4.425925925925926,4.944444444444445,3.3425925925925926,4.851851851851852,4.203703703703703
18100a-lecture-21-multicam_360p_16_9,Proposed (Hybrid),4.354166666666667,4.96875,3.625,4.875,4.484375
18100a-lecture-24-multicam_360p_16_9,Baseline (Unstructured),4.333333333333333,4.858974358974359,3.3974358974358974,4.782051282051282,4.1923076923076925
18100a-lecture-24-multicam_360p_16_9,Proposed (Hybrid),4.24,4.92,3.66,4.86,4.46
