lecture_name,Method,conciseness_score,answer_consistency_score,educational_complexity_score,independence_score,overall_review_score
18100a-lecture-11-multicam_360p_16_9,Baseline (Unstructured),4.39622641509434,4.943396226415095,3.547169811320755,4.811320754716981,4.471698113207547
18100a-lecture-11-multicam_360p_16_9,Proposed (Hybrid),4.2439024390243905,4.975609756097561,3.5853658536585367,4.682926829268292,4.317073170731708
18100a-lecture-12-multicam_360p_16_9,Baseline (Unstructured),4.596273291925466,4.863354037267081,3.347826086956522,4.795031055900621,4.043478260869565
18100a-lecture-12-multicam_360p_16_9,Proposed (Hybrid),4.435643564356436,4.97029702970297,3.594059405940594,4.881188118811881,4.158415841584159
18100a-lecture-15-multicam_360p_16_9,Baseline (Unstructured),4.712962962962963,4.967592592592593,3.1527777777777777,4.782407407407407,3.6064814814814814
18100a-lecture-15-multicam_360p_16_9,Proposed (Hybrid),4.529100529100529,4.915343915343915,3.4444444444444446,4.761904761904762,3.8624338624338623
18100a-lecture-16-multicam_360p_16_9,Baseline (Unstructured),4.464285714285714,4.919642857142857,3.232142857142857,4.767857142857143,4.107142857142857
18100a-lecture-16-multicam_360p_16_9,Proposed (Hybrid),4.298245614035087,5.0,3.508771929824561,4.894736842105263,4.4035087719298245
18100a-lecture-17-multicam_360p_16_9,Baseline (Unstructured),4.507936507936508,4.968253968253968,3.4444444444444446,4.888888888888889,3.7777777777777777
18100a-lecture-17-multicam_360p_16_9,Proposed (Hybrid),4.352941176470588,4.894117647058824,3.8,4.882352941176471,4.047058823529412
18100a-lecture-18-multicam_360p_16_9,Baseline (Unstructured),4.315789473684211,4.802631578947368,3.3289473684210527,4.776315789473684,4.125
18100a-lecture-18-multicam_360p_16_9,Proposed (Hybrid),4.34,4.94,3.52,4.78,4.34
18100a-lecture-19-multicam_360p_16_9,Baseline (Unstructured),4.469387755102041,4.863945578231292,3.1156462585034013,4.63265306122449,3.9659863945578233
18100a-lecture-19-multicam_360p_16_9,Proposed (Hybrid),4.258064516129032,4.870967741935484,3.532258064516129,4.790322580645161,4.17741935483871
18100a-lecture-21-multicam_360p_16_9,Baseline (Unstructured),4.425925925925926,4.944444444444445,3.3425925925925926,4.851851851851852,4.203703703703703
18100a-lecture-21-multicam_360p_16_9,Proposed (Hybrid),4.354166666666667,4.96875,3.625,4.875,4.484375
18100a-lecture-24-multicam_360p_16_9,Baseline (Unstructured),4.333333333333333,4.858974358974359,3.3974358974358974,4.782051282051282,4.1923076923076925
18100a-lecture-24-multicam_360p_16_9,Proposed (Hybrid),4.24,4.92,3.66,4.86,4.46
